Row	energy_consumption	starting_temp	starting_humi	time_taken	factor	path	ending_temp	ending_humi
539	[]	22.98	60.5	[]	Infinity	[]		
540	[]	22.98	60.5	[]	Infinity	[]		
541	[]	22.98	60.5	[]	Infinity	[]		
542	[]	22.98	60.5	[]	Infinity	[]		
543	[]	22.98	60.5	[]	Infinity	[]		
544	[]	24.79	48.75	[]	Infinity	[]		
545	[]	22.98	60.5	[]	Infinity	[]		
546	[]	22.98	60.5	[]	Infinity	[]		
547	[]	22.98	60.5	[]	Infinity	[]		
548	[]	24.79	48.75	[]	Infinity	[]		
549	[]	24.79	48.75	[]	Infinity	[]		
550	[]	24.79	48.75	[]	Infinity	[]		
551	[]	24.79	48.75	[]	Infinity	[]		
